Incident #,County,Fire Name,Start,Cont.,DPA,Total,Type,Cause,Dest.,Dam.,Fire,Civil
SCU-5740* ,SAN JOAQUIN ,SCU LIGHTNING COMPLEX ,08/16/20 ,09/15/20 ,CAL FIRE ,"396,625 ","B, G ",LIGHTNING ,225 ,26 ,,
SCU-5740* ,STANISLAUS ,SCU LIGHTNING COMPLEX ,08/16/20 ,09/15/20 ,CAL FIRE ,"396,625 ","B, G ",LIGHTNING ,225 ,26 ,,
BTU-9979* ,BUTTE ,BUTTE TEHAMA GLENN COMPLEX ,08/17/20 ,09/16/20 ,CAL FIRE ,"19,609 ",T ,LIGHTNING ,,,,
BTU-9979* ,TEHAMA ,BUTTE TEHAMA GLENN COMPLEX ,08/17/20 ,09/16/20 ,CAL FIRE ,"19,609 ",T ,LIGHTNING ,,,,
BTU-9979* ,TEHAMA ,BUTTE TEHAMA GLENN COMPLEX ,08/17/20 ,09/16/20 ,CAL FIRE ,"19,609 ",T ,LIGHTNING ,,,,
LNU-13407* ,NAPA ,LNU LIGHTNING COMPLEX ,08/17/20 ,09/22/20 ,CAL FIRE ,"363,220 ","B, G, T ",LIGHTNING ,"1,491 ",232 ,5 ,
LNU-13407* ,NAPA ,LNU LIGHTNING COMPLEX ,08/17/20 ,09/22/20 ,CAL FIRE ,"363,220 ","B, G, T ",LIGHTNING ,"1,491 ",232 ,5 ,
LNU-13407* ,SONOMA ,LNU LIGHTNING COMPLEX ,08/17/20 ,09/22/20 ,CAL FIRE ,"363,220 ","B, G, T ",LIGHTNING ,"1,491 ",232 ,5 ,
LNU-13407* ,SOLANO ,LNU LIGHTNING COMPLEX ,08/17/20 ,09/22/20 ,CAL FIRE ,"363,220 ","B, G, T ",LIGHTNING ,"1,491 ",232 ,5 ,
MEU-10843* ,SISKIYOU ,AUGUST COMPLEX WEST ZONE ,08/17/20 ,10/15/20 ,CAL FIRE ,"143,181 ","B, G, T ",LIGHTNING ,55 ,6 ,,
MEU-10843* ,TEHAMA ,AUGUST COMPLEX WEST ZONE ,08/17/20 ,10/15/20 ,CAL FIRE ,"143,181 ","B, G, T ",LIGHTNING ,55 ,6 ,,
MEU-10843* ,TEHAMA ,AUGUST COMPLEX WEST ZONE ,08/17/20 ,10/15/20 ,CAL FIRE ,"143,181 ","B, G, T ",LIGHTNING ,55 ,6 ,,
MEU-10843* ,MENDOCINO ,AUGUST COMPLEX WEST ZONE ,08/17/20 ,10/15/20 ,CAL FIRE ,"143,181 ","B, G, T ",LIGHTNING ,55 ,6 ,,
NEU-19231 ,PLACER ,JONES ,08/17/20 ,09/06/20 ,CAL FIRE ,705 ,"B, T ",LIGHTNING ,18 ,3 ,,
VNC-30441 LAC-246170 ,VENTURA ,HOLSER ,08/17/20 ,08/22/20 ,CC ,"2,189 ","B, G ",EQUIPMENT USE ,,,,
VNC-30441 LAC-246170 ,LOS ANGELES ,HOLSER ,08/17/20 ,08/22/20 ,CC ,"2,189 ","B, G ",EQUIPMENT USE ,,,,
BEU-4081 ,MONTEREY ,CARMEL ,08/18/20 ,09/06/20 ,CAL FIRE ,"6,901 ","B, G ",VEHICLE ,73 ,7 ,,
MEU-9786 ,MENDOCINO ,CREEK ,08/18/20 ,08/26/20 ,CAL FIRE ,820 ,"B, G ",VEHICLE ,3 ,,,
TCU-9353 ,AMADOR ,SALT ,08/18/20 ,08/24/20 ,CAL FIRE ,"1,783 ","B, G ",EQUIPMENT USE ,,,,
TCU-9457 ,ALPINE ,MOC ,08/20/20 ,08/31/20 ,CAL FIRE ,"2,857 ","B, G ",EQUIPMENT USE ,2 ,1 ,,
MMU-19014 ,FRESNO ,HENSLEY #2 ,08/30/20 ,08/30/20 ,CAL FIRE ,400 ,G ,ARSON ,,,,
BDU-12925 ,SAN BERNARDINO ,EL DORADO ,09/05/20 ,11/16/20 ,CAL FIRE ,"22,744 ","B, G, T ",PYROTECHNICS ,14 ,2 ,1 ,
MEU-10700 ,MENDOCINO ,OAK ,09/07/20 ,09/25/20 ,CAL FIRE ,"1,100 ","G, T ",STRUCTURE ,56 ,1 ,,
NEU-21423 ,YUBA ,WILLOW ,09/09/20 ,09/09/20 ,CAL FIRE ,"1,311 ","B, G, T ",ARSON ,11 ,5 ,,
RRU-119353 ,RIVERSIDE ,SNOW ,09/17/20 ,09/24/20 ,CAL FIRE ,"6,254 ","B, G, T ",VEHICLE ,,,,
LNU-15947* ,NAPA ,GLASS ,09/27/20 ,10/20/20 ,CAL FIRE ,"67,484 ","B, G, T ",UNDETERMINED ,"1,528 ",282 ,,
LNU-15947* ,SONOMA ,GLASS ,09/27/20 ,10/20/20 ,CAL FIRE ,"67,484 ","B, G, T ",UNDETERMINED ,"1,528 ",282 ,,
SHU-9978* ,SHASTA ,ZOGG ,09/27/20 ,10/14/20 ,CAL FIRE ,"56,338 ","B, G ",ELECTRICAL POWER ,204 ,27 ,4 ,
RRU-124873 ,RIVERSIDE ,CANDY ,09/29/20 ,09/30/20 ,CAL FIRE ,454 ,G ,ARSON ,,,,
ORC-121364 ,ORANGE ,SILVERADO ,10/26/20 ,11/07/20 ,CC ,"12,466 ","B, G ",UNDER INVESTIGATION ,5 ,11 ,,
ORC-121612 ,ORANGE ,BLUE RIDGE ,10/26/20 ,11/07/20 ,CC ,"13,694 ","B, G ",UNDETERMINED ,1 ,12 ,,
ORC-136890 ,ORANGE ,BOND ,12/02/20 ,12/11/20 ,CC ,"6,686 ","B, G ",STRUCTURE ,31 ,21 ,,
RRU-160421 ,RIVERSIDE ,SANDERSON ,12/13/20 ,12/13/20 ,CAL FIRE ,"1,954 ",G ,CAMPFIRE ,,,,
KCF ,KINGS ,INTERSTATE 5 ,05/03/20 ,05/03/20 ,LOCAL ,"2,060 ",G ,UNDETERMINED ,,,,
BOB-6492 ,SAN LUIS OBISPO ,RANGE ,05/27/20 ,05/28/20 ,MIL ,"5,000 ",G ,UNDETERMINED ,,,,
CNP-1216 ,SANTA BARBARA ,SCORPION ,05/31/20 ,06/05/20 ,NPS ,"1,395 ","B, G ",UNDETERMINED ,,,,
MCP-1474 ,SAN DIEGO ,INDIA ,06/09/20 ,06/16/20 ,MIL ,"1,100 ","B, G ",UNDETERMINED ,,,,
SNF-593 ,FRESNO ,HOG ,06/14/20 ,06/15/20 ,USFS ,533 ,"B, G ",UNDETERMINED ,,,,
MNP-9202 ,SAN BERNARDINO ,IVANPAH ,06/22/20 ,06/26/20 ,NPS ,"1,088 ","B, G ",UNDETERMINED ,,,,
NOD-3218 ,LASSEN ,R-2 ,06/23/20 ,06/25/20 ,BLM ,563 ,"B, G ",UNDETERMINED ,,,,
ANF-2440 ,LOS ANGELES ,ROWHER ,07/01/20 ,07/09/20 ,USFS ,616 ,"B, G ",PLAYING WITH FIRE ,,,,
BEA ,YUBA ,VALLEY ,07/15/20 ,07/15/20 ,MIL ,500 ,G ,UNDETERMINED ,,,,
MDF-487 ,SISKIYOU ,JULY COMPLEX ,07/22/20 ,08/22/20 ,USFS ,"83,261 ","B, G, T ",LIGHTNING ,15 ,,,
MDF-487 ,MODOC ,JULY COMPLEX ,07/22/20 ,08/22/20 ,USFS ,"83,261 ","B, G, T ",LIGHTNING ,15 ,,,
YNP-54 ,MERCED ,BLUEJAY ,07/24/20 ,11/19/20 ,NPS ,"6,922 ",T ,LIGHTNING ,,,,
PNF-976 ,LASSEN ,ADAMS ,07/26/20 ,07/31/20 ,USFS ,918 ,"B, G, T ",LIGHTNING ,,,,
SRF-656 ,HUMBOLDT ,RED SALMON COMPLEX ,07/28/20 ,11/16/20 ,USFS ,"144,698 ","B, G, T ",LIGHTNING ,,,,
LNF-4290 ,TEHAMA ,STUMP ,08/01/20 ,08/13/20 ,USFS ,684 ,T ,LIGHTNING ,,,,
BEA ,YUBA ,BEALE ,08/02/20 ,08/03/20 ,MIL ,600 ,G ,UNDETERMINED ,,,,
CCD-30547 ,LASSEN ,NORTH ,08/02/20 ,08/08/20 ,BLM ,"6,882 ","B, G ",UNDETERMINED ,1 ,,,
CND-2309 ,KERN ,STAGECOACH ,08/03/20 ,08/14/20 ,BLM ,"7,760 ","B, T ",EQUIPMENT USE ,31 ,4 ,1 ,
SNF-1160 ,FRESNO ,TRIMMER ,08/03/20 ,09/01/20 ,USFS ,594 ,"B, T ",UNDETERMINED ,,,,
YNP-75 ,ALPINE ,WOLF ,08/11/20 ,11/19/20 ,NPS ,"2,057 ",T ,LIGHTNING ,,,,
ANF-3273 ,LOS ANGELES ,LAKE ,08/12/20 ,09/30/20 ,USFS ,"31,089 ","B, G, T ",UNDETERMINED ,34 ,6 ,,
ANF-3289 ,LOS ANGELES ,RANCH 2 ,08/13/20 ,09/03/20 ,USFS ,"4,237 ","B, G ",ARSON ,,,,
TNF-1600 ,PLACER ,LOYALTON ,08/14/20 ,08/30/20 ,USFS ,"47,029 ","G, T ",LIGHTNING ,35 ,,,
MNP-12356 ,SAN BERNARDINO ,DOME ,08/15/20 ,08/22/20 ,NPS ,"43,273 ","B, G ",LIGHTNING ,6 ,,,
INF-2140 ,INYO ,BEACH ,08/16/20 ,08/28/20 ,USFS ,"3,780 ","B, T ",LIGHTNING ,,,,
KNP-80 ,TULARE ,RATTLESNAKE ,08/16/20 ,12/31/20 ,NPS ,"8,419 ","B, T ",LIGHTNING ,,,,
MNF-753 ,SISKIYOU ,AUGUST COMPLEX ,08/17/20 ,11/15/20 ,USFS ,"889,467 ","B, T ",LIGHTNING ,34 ,4 ,1 ,
MNF-753 ,TEHAMA ,AUGUST COMPLEX ,08/17/20 ,11/15/20 ,USFS ,"889,467 ","B, T ",LIGHTNING ,34 ,4 ,1 ,
MNF-753 ,TEHAMA ,AUGUST COMPLEX ,08/17/20 ,11/15/20 ,USFS ,"889,467 ","B, T ",LIGHTNING ,34 ,4 ,1 ,
MNF-753 ,NAPA ,AUGUST COMPLEX ,08/17/20 ,11/15/20 ,USFS ,"889,467 ","B, T ",LIGHTNING ,34 ,4 ,1 ,
MNF-753 ,MENDOCINO ,AUGUST COMPLEX ,08/17/20 ,11/15/20 ,USFS ,"889,467 ","B, T ",LIGHTNING ,34 ,4 ,1 ,
NOD-4682 ,LASSEN ,R-5 ,08/17/20 ,08/19/20 ,BLM ,471 ,"B, G ",UNDETERMINED ,,,,
PNF-1299 ,LASSEN ,SHEEP ,08/17/20 ,09/09/20 ,USFS ,"29,570 ","B, G, T ",LIGHTNING ,26 ,2 ,,
PNF-1308* ,LASSEN ,NORTH COMPLEX ,08/17/20 ,11/30/20 ,USFS ,"318,935 ","B, G, T ",LIGHTNING ,"2,352 ",119 ,16 ,
PNF-1308* ,BUTTE ,NORTH COMPLEX ,08/17/20 ,11/30/20 ,USFS ,"318,935 ","B, G, T ",LIGHTNING ,"2,352 ",119 ,16 ,
LPF-2428 ,MONTEREY ,DOLAN ,08/18/20 ,12/31/20 ,USFS ,"124,924 ","B, G, T ",UNDETERMINED ,19 ,4 ,,
NOD-4727 ,LASSEN ,W-5 COLD SPRINGS ,08/18/20 ,09/13/20 ,BLM ,"84,817 ","B, T ",LIGHTNING ,1 ,,,
RNP-12009 ,MARIN ,WOODWARD ,08/18/20 ,10/01/20 ,NPS ,"4,929 ","B, G, T ",LIGHTNING ,,,,
SQF-2622 ,TULARE ,SQF COMPLEX ,08/19/20 ,01/07/21 ,USFS ,"175,019 ","G, T ",LIGHTNING ,232 ,12 ,,
KNP-91 ,TULARE ,MORAINE ,08/21/20 ,12/31/20 ,NPS ,"1,316 ","B, T ",LIGHTNING ,,,,
HTF-30684 ,INYO ,SLINK ,08/29/20 ,10/15/20 ,USFS ,"26,759 ","B, G, T ",LIGHTNING ,2 ,,,
SHF-1376 ,SISKIYOU ,HOBO ,09/01/20 ,09/10/20 ,USFS ,413 ,"B, G, T ",UNDETERMINED ,,,,
SNF-1392* ,FRESNO ,CREEK ,09/04/20 ,12/31/20 ,USFS ,"379,895 ",T ,UNDETERMINED ,858 ,71 ,,
SNF-1392* ,MERCED ,CREEK ,09/04/20 ,12/31/20 ,USFS ,"379,895 ",T ,UNDETERMINED ,858 ,71 ,,
CNF-2833 ,SAN DIEGO ,VALLEY ,09/05/20 ,09/24/20 ,USFS ,"16,390 ","B, G ",UNDETERMINED ,64 ,11 ,,
ANF-3687 ,LOS ANGELES ,BOBCAT ,09/06/20 ,11/30/20 ,USFS ,"115,997 ","B, T ",UNDETERMINED ,169 ,47 ,,
ENF-27219 ,EL DORADO ,FORK ,09/08/20 ,11/08/20 ,USFS ,"1,673 ",T ,UNDETERMINED ,,,,
KNF-7035 ,SISKIYOU ,SLATER ,09/08/20 ,11/15/20 ,USFS ,"157,270 ","B, T ",UNDETERMINED ,353 ,24 ,2 ,
SNF-1402 ,FRESNO ,BULLFROG ,09/08/20 ,11/15/20 ,USFS ,"1,185 ","B, G, T ",UNDETERMINED ,,,,
KNF-7084 ,SISKIYOU ,DEVIL ,09/09/20 ,11/15/20 ,USFS ,"8,857 ",T ,UNDETERMINED ,,,,
KNF-7241 ,SISKIYOU ,FOX ,09/14/20 ,09/30/20 ,USFS ,"2,188 ","B, T ",HUMAN ,,,,
LPF3161 ,MONTEREY ,COLEMAN ,10/18/20 ,11/15/20 ,USFS ,574 ,"B, G ",UNDETERMINED ,,,,
NOD-6431 ,LASSEN ,LAURA 2 ,11/17/20 ,11/23/20 ,BLM ,"2,800 ","B, G ",UNDETERMINED ,42 ,7 ,,
OVD-30860 ,INYO ,MOUNTAIN VIEW ,11/17/20 ,11/30/20 ,BLM ,"20,385 ","B, G ",UNDETERMINED ,97 ,1 ,,
COR-12597 ,RIVERSIDE ,AIRPORT ,12/01/20 ,12/17/20 ,LOCAL ,"1,087 ","B, G ",UNDETERMINED ,,,,
MVU-20846 ,SAN DIEGO ,CREEK 5 ,12/23/20 ,12/28/20 ,MIL ,"4,276 ","B, G ",UNDETERMINED ,,,,
